Item #,Description,Type,Price,Core Deposit
503-1,TIE ROD END,Car,$15.99,$0.00
315,TIMING CHAIN,Car,$18.99,$0.00
316,TIMING GEAR,Car,$18.99,$0.00
308,TIMING GEAR COVER (ALL),Car,$27.99,$0.00
585-10,"TIRE (RACKED) Up To 19""",Car,$29.99,$0.00
585-1,TIRE (YARD),Car,$20.99,$0.00
755-1,TIRE CHAINS (CABLE),Car,$16.99,$0.00
755,TIRE CHAINS (NON CABLE),Car,$15.99,$0.00
585-7,TIRE INFLATABLE SPARE,Car,$16.99,$0.00
707,TOOL BOXES /P.U.,Pick-Up/Van,$111.99,$0.00
152,TOP STEEL - ROOF CUT,Car,$127.99,$5.99
365-1,TOP-CONVERTIBLE (NO RAMS),Car,$204.99,$0.00
634,TOP-CONVERTIBLE MOTOR,Car,$96.99,$4.99
365-2,TOP-CONVERTIBLE RAMS EA,Car,$58.99,$0.00
407,TORQUE CONVERTER,Car,$45.99,$4.99
521,TORSION BAR,Car,$36.99,$0.00
142-1,TRAILER HITCH BALL,Car,$8.99,$0.00
142-2,TRAILER HITCH W/O BALL,Car,$42.99,$0.00
507-1,TRAILING ARM,Car,$36.99,$0.00
347-1,TRAN CROS MEMBER,Car,$36.99,$0.99
405-5,TRANS COOLING LINES (EA),Car,$12.99,$0.00
405-3,TRANS DIPSTICK,Car,$9.99,$0.00
405-4,TRANS FILLER TUBE,Car,$9.99,$0.00
242-1,TRANS FLOOR SHIFTER,Car,$42.99,$0.00
420,TRANS FLOOR SHIFTER CABLE,Car,$36.99,$0.00
405-6,TRANS KICK-DOWN LINKAGE,Car,$16.99,$0.00
402-1,TRANS MOUNT,Car,$21.99,$0.00
242-2,TRANS SHIFTER ARM,Car,$11.49,$0.00
242-3,TRANS SHIFTER BOOT,Car,$9.49,$0.00
242-4,TRANS SHIFTER COLLAR-CLMN,Car,$23.99,$0.00
242-5,TRANS SHIFTER CONSOLE,Car,$17.99,$0.00
242-6,TRANS SHIFTER KNOB,Car,$6.99,$0.00
405-2,TRANS TAIL HOUSING,Car,$42.99,$1.99
405-1,TRANS VALVE BODY ASSEMBLY,Car,$77.99,$4.99
624,TRANSDUCER(CRUISE CONTROL),Car,$37.99,$0.99
412,TRANSFER CASE 4X4,Car,$223.99,$14.99
412-1,TRANSFER CASE MOTOR,Car,$42.99,$0.00
425,TRANSMISSION COVER/SHIELD,Car,$21.99,$0.00
400-5,TRANSMISSION PUMP,Car,$129.99,$0.00
405-7,TRANSMISSION SOLENOID PACK,Car,$31.99,$1.99
400-2,TRANSMISSION/TRANSAXLE (AUTO),Car,$254.99,$29.99
400-1,TRANSMISSION/TRANSAXLE (STD),Car,$254.99,$29.99
321,TURBOCHARGER,Car,$104.99,$9.99
512-1,U-BOLT,Car,$5.99,$0.00
512-2,U-BOLT PLATE,Car,$15.99,$0.00
340,VACUUM LINE (PER FOOT),Car,$4.49,$0.00
372,VACUUM PUMP,Car,$46.99,$2.99
350-2,VALVE COVER ALUMINUM,Car,$28.99,$3.99
350-1,VALVE COVER/PAN (STEEL),Car,$15.99,$0.00
